sample_id,site_id,collected_at,instrument_batch,concentration,concentration_unit,water_temperature_c,review_required,post_review_flag,workflow_status
E104,S13,2026-01-14T00:00:00+00:00,B0,0.0518,mg/L,10.8,0,0,cleared
E105,S13,2026-01-14T03:00:00+00:00,B1,0.0166,mg/L,22.79,0,0,cleared
E106,S13,2026-01-14T06:00:00+00:00,B2,0.1627,mg/L,,1,1,reviewed
E107,S13,2026-01-14T09:00:00+00:00,B3,0.0621,mg/L,10.31,0,0,cleared
E108,S13,2026-01-14T12:00:00+00:00,B0,93.8,ug/L,16.49,1,1,reviewed
E109,S13,2026-01-14T15:00:00+00:00,B1,0.0741,mg/L,20.59,0,0,cleared
E110,S13,2026-01-14T18:00:00+00:00,B2,0.1154,mg/L,,1,1,reviewed
E111,S13,2026-01-14T21:00:00+00:00,B3,0.1367,mg/L,10.13,1,1,reviewed
E112,S14,2026-01-15T00:00:00+00:00,B0,0.0396,mg/L,11.39,0,0,cleared
E113,S14,2026-01-15T03:00:00+00:00,B1,0.0962,mg/L,11.22,0,0,cleared
E114,S14,2026-01-15T06:00:00+00:00,B2,0.1888,mg/L,,1,1,reviewed
E115,S14,2026-01-15T09:00:00+00:00,B3,0.0937,mg/L,15.3,0,0,cleared
E116,S14,2026-01-15T12:00:00+00:00,B0,0.0281,mg/L,15.8,0,0,cleared
E117,S14,2026-01-15T15:00:00+00:00,B1,53.1,ug/L,22.32,0,0,cleared
E118,S14,2026-01-15T18:00:00+00:00,B2,0.1673,mg/L,,1,1,reviewed
E119,S14,2026-01-15T21:00:00+00:00,B3,0.0467,mg/L,19.31,0,0,cleared
E019,S02,2026-01-03T09:00:00+00:00,B3,0.1358,mg/L,21.19,1,1,reviewed
