cycle_id,machine_id,recorded_at,temperature,temperature_unit,vibration_mm_s,requires_inspection,inspection_completed
C101,M16,2026-01-05T05:00:00+00:00,68.87,degC,3.09,1,1
C102,M17,2026-01-05T06:00:00+00:00,55.56,degC,0.588,0,0
C103,M17,2026-01-05T07:00:00+00:00,64.32,degC,2.59,1,1
C104,M17,2026-01-05T08:00:00+00:00,43.35,degC,,0,0
C105,M17,2026-01-05T09:00:00+00:00,42.0,degC,0.34,0,0
C106,M17,2026-01-05T10:00:00+00:00,54.63,degC,4.301,1,1
C107,M17,2026-01-05T11:00:00+00:00,43.39,degC,1.004,0,0
C108,M18,2026-01-05T12:00:00+00:00,66.63,degC,2.15,0,0
C109,M18,2026-01-05T13:00:00+00:00,48.67,degC,3.131,0,0
C110,M18,2026-01-05T14:00:00+00:00,341.98,K,0.924,0,0
C111,M18,2026-01-05T15:00:00+00:00,48.04,degC,2.063,0,0
C112,M18,2026-01-05T16:00:00+00:00,56.37,degC,2.576,0,0
C113,M18,2026-01-05T17:00:00+00:00,51.02,degC,2.816,0,0
C114,M19,2026-01-05T18:00:00+00:00,65.18,degC,0.348,1,1
C115,M19,2026-01-05T19:00:00+00:00,51.3,degC,4.406,1,1
C116,M19,2026-01-05T20:00:00+00:00,43.42,degC,2.123,0,0
C117,M19,2026-01-05T21:00:00+00:00,50.39,degC,,1,1
C118,M19,2026-01-05T22:00:00+00:00,53.85,degC,3.906,1,1
C119,M19,2026-01-05T23:00:00+00:00,52.92,degC,0.677,0,0
C008,M01,2026-01-01T08:00:00+00:00,39.78,degC,3.302,0,0
